Date,EURUSD_Close,NZDUSD_Close,Spread,RollingMean,RollingStd,ZScore
2020-01-01,1.1220825910568235,0.6785798072814941,0.3589259103721994,,,
2020-01-02,1.1220825910568235,0.6737182140350342,0.3643934431885246,,,
2020-01-03,1.1171437501907349,0.6700212359428406,0.3636123646064407,,,
2020-01-06,1.1161960363388062,0.665530800819397,0.3677147650179553,,,
2020-01-07,1.1197994947433472,0.6669512391090393,0.3697207444544976,,,
2020-01-08,1.1154738664627075,0.6631211638450623,0.3697025646034522,,,
2020-01-09,1.1113210916519165,0.6654289960861206,0.3629543138091967,,,
2020-01-10,1.1111111640930176,0.6607987880706787,0.3679516944283882,,,
2020-01-13,1.111666917800903,0.6637682318687439,0.3651678986122619,,,
2020-01-14,1.1135733127593994,0.6626817584037781,0.3682961829849113,,,
2020-01-15,1.113089919090271,0.660969078540802,0.3697389342810161,,,
2020-01-16,1.1154004335403442,0.6619185209274292,0.3709816696835777,,,
2020-01-17,1.1139578819274902,0.6638211011886597,0.3673994038892576,,,
2020-01-20,1.1094592809677124,0.6619710922241211,0.3649813934296159,,,
2020-01-21,1.109693169593811,0.6608904600143433,0.3664306021719419,,,
2020-01-22,1.108561396598816,0.6595305800437927,0.366828201954207,,,
2020-01-23,1.1096439361572266,0.659639298915863,0.3677884721308196,,,
2020-01-24,1.1055220365524292,0.6614719033241272,0.3616055558523583,,,
2020-01-27,1.102535843849182,0.6572720408439636,0.3633426883575841,,,
2020-01-28,1.101976990699768,0.6545788049697876,0.3658127507874167,0.3661674777307812,0.0030743174887459673,-0.11538396559984597
2020-01-29,1.1022562980651855,0.6540094017982483,0.3667324306332711,0.36655780374383473,0.0025588743254387853,0.06824363654765446
2020-01-30,1.1016855239868164,0.6527202129364014,0.3676115274205326,0.36671870795543515,0.0025164405952774124,0.3547945724500702
2020-01-31,1.1029127836227417,0.6485421061515808,0.3735376449818409,0.36721497197420516,0.002830658894501348,2.233640026326639
2020-02-03,1.1089794635772705,0.6459489464759827,0.3825206910134018,0.36795526827397745,0.00444436032786725,3.277282142965661
2020-02-04,1.1062926054000854,0.6461117267608643,0.3796507639317811,0.3684517692478416,0.005150533359970662,2.174336889258255
2020-02-05,1.1047282218933103,0.6493801474571228,0.3744105901010495,0.3686871705227215,0.005315650505748142,1.076711038872649
2020-02-06,1.100231051445007,0.6481889486312866,0.3712530871939931,0.3691021091919613,0.005166396820178405,0.41634006772973975
2020-02-07,1.0982975959777832,0.6463000178337097,0.3714439952018582,0.36927672423063485,0.0051844536518118834,0.4180326639560085
2020-02-10,1.0949305295944214,0.6399590373039246,0.3752082368849465,0.36977874114426906,0.005251328696337069,1.033927993207628
2020-02-11,1.0913456678390503,0.6388592720031738,0.3728602130481916,0.37000694264743306,0.005282585991231497,0.5401275824936246
2020-02-12,1.091941475868225,0.6406519412994385,0.3714399169507445,0.37009199178091945,0.005291728899188836,0.25472302068076325
2020-02-13,1.0875948667526243,0.6447120904922485,0.3625271095076654,0.3696692637721239,0.005548387332118296,-1.2872486791097357
2020-02-14,1.0845986604690552,0.6443091630935669,0.3599840507136549,0.36929849611334375,0.0059418637547541085,-1.5675965966463499
2020-02-17,1.0841753482818604,0.6446580290794373,0.359168390559539,0.36900784596983993,0.006295784995794496,-1.5628639505436712
2020-02-18,1.0840108394622805,0.6438984274864197,0.3598581586048903,0.3686792237914873,0.006601499064656538,-1.3362215309282897
2020-02-19,1.079540491104126,0.6394516229629517,0.3603888558766943,0.3683572564876117,0.006848921035031355,-1.1634534213725145
