Date,EURUSD_Close,GBPUSD_Close
2020-01-01,1.1220825910568235,1.326259970664978
2020-01-02,1.1220825910568235,1.3250298500061035
2020-01-03,1.1171437501907349,1.3152703046798706
2020-01-06,1.1161960363388062,1.308010220527649
2020-01-07,1.1197994947433472,1.317002534866333
2020-01-08,1.1154738664627075,1.31137216091156
2020-01-09,1.1113210916519165,1.3105130195617676
2020-01-10,1.1111111640930176,1.3070186376571655
2020-01-13,1.111666917800903,1.3045634031295776
2020-01-14,1.1135733127593994,1.2988194227218628
2020-01-15,1.113089919090271,1.3022528886795044
2020-01-16,1.1154004335403442,1.304121017456055
2020-01-17,1.1139578819274902,1.3078734874725342
2020-01-20,1.1094592809677124,1.3007283210754397
2020-01-21,1.109693169593811,1.3005592823028564
2020-01-22,1.108561396598816,1.3048017024993896
2020-01-23,1.1096439361572266,1.3144749402999878
2020-01-24,1.1055220365524292,1.311991572380066
2020-01-27,1.102535843849182,1.3061821460723877
2020-01-28,1.101976990699768,1.3060115575790403
2020-01-29,1.1022562980651855,1.3024563789367676
2020-01-30,1.1016855239868164,1.3022021055221558
2020-01-31,1.1029127836227417,1.3089004755020142
2020-02-03,1.1089794635772705,1.31816565990448
2020-02-04,1.1062926054000854,1.2997479438781738
2020-02-05,1.1047282218933103,1.3032711744308472
2020-02-06,1.100231051445007,1.2997140884399414
2020-02-07,1.0982975959777832,1.2930254936218262
2020-02-10,1.0949305295944214,1.2891582250595093
2020-02-11,1.0913456678390503,1.2918227910995483
2020-02-12,1.091941475868225,1.2956557273864746
2020-02-13,1.0875948667526243,1.295756459236145
2020-02-14,1.0845986604690552,1.3046824932098389
2020-02-17,1.0841753482818604,1.3052955865859983
2020-02-18,1.0840108394622805,1.3008975982666016
2020-02-19,1.079540491104126,1.300220966339111
2020-02-20,1.081009864807129,1.2928247451782229
2020-02-21,1.078799843788147,1.2883278131484983
2020-02-24,1.0839051008224487,1.29537034034729
2020-02-25,1.0849199295043943,1.292657732963562
2020-02-26,1.0881996154785156,1.3003394603729248
2020-02-27,1.088589429855347,1.2906889915466309
2020-02-28,1.0997228622436523,1.2888922691345217
2020-03-02,1.1051311492919922,1.2807048559188845
2020-03-03,1.114404797554016,1.2767152786254885
2020-03-04,1.118067979812622,1.2820841073989868
2020-03-05,1.113908290863037,1.2874983549118042
2020-03-06,1.1223849058151243,1.295068383216858
2020-03-09,1.1386020183563232,1.3099292516708374
2020-03-10,1.139796018600464,1.3075313568115234
2020-03-11,1.1316505670547483,1.2909722328186035
2020-03-12,1.1261515617370603,1.2818212509155271
2020-03-13,1.1184931993484497,1.257023572921753
2020-03-16,1.115536093711853,1.239987015724182
2020-03-17,1.1163206100463867,1.2266627550125122
2020-03-18,1.101552128791809,1.2121652364730835
2020-03-19,1.0961546897888184,1.1625338792800903
2020-03-20,1.0657345056533811,1.149438500404358
2020-03-23,1.0694386959075928,1.162304162979126
2020-03-24,1.0764610767364502,1.1595547199249268
2020-03-25,1.080263614654541,1.1792036294937134
2020-03-26,1.0889569520950315,1.1851149797439575
2020-03-27,1.1048258543014526,1.2200626134872437
2020-03-30,1.113908290863037,1.245319128036499
2020-03-31,1.1030466556549072,1.2371643781661987
